"","year","genre","Median","Q1","Q3"
"1",1925,"Action",NA,NA,NA
"2",1926,"Action",8,8,8
"3",1927,"Action",NA,NA,NA
"4",1928,"Action",7.9,7.9,7.9
"5",1930,"Action",NA,NA,NA
"6",1931,"Action",7.3,7.3,7.3
"7",1932,"Action",7.45,7.325,7.575
"8",1933,"Action",NA,NA,NA
"9",1934,"Action",NA,NA,NA
"10",1935,"Action",7.8,7.8,7.8
"11",1936,"Action",NA,NA,NA
"12",1937,"Action",NA,NA,NA
"13",1938,"Action",7.8,7.75,7.85
"14",1939,"Action",NA,NA,NA
"15",1940,"Action",7.6,7.6,7.6
"16",1941,"Action",7.6,7.6,7.6
"17",1942,"Action",NA,NA,NA
"18",1943,"Action",NA,NA,NA
"19",1944,"Action",NA,NA,NA
"20",1945,"Action",NA,NA,NA
"21",1946,"Action",NA,NA,NA
"22",1947,"Action",NA,NA,NA
"23",1948,"Action",7.7,7.65,7.8
"24",1949,"Action",8,8,8
"25",1950,"Action",7.7,7.7,7.7
"26",1951,"Action",NA,NA,NA
"27",1952,"Action",NA,NA,NA
"28",1953,"Action",7.2,7.2,7.2
"29",1954,"Action",7.7,7.25,8.05
"30",1955,"Action",NA,NA,NA
"31",1956,"Action",7.7,7.7,7.7
"32",1957,"Action",NA,NA,NA
"33",1958,"Action",7.2,7.2,7.4
"34",1959,"Action",8,8,8
"35",1960,"Action",7.8,7.8,7.8
"36",1961,"Action",7.8,7.7,7.9
"37",1962,"Action",7.8,7.4,8
"38",1963,"Action",7.5,7.45,7.6
"39",1964,"Action",7.9,7.85,7.95
"40",1965,"Action",7.15,7.05,7.275
"41",1966,"Action",7.35,7.325,7.375
"42",1967,"Action",7.8,7.4,7.8
"43",1968,"Action",7.5,7,7.65
"44",1969,"Action",7.3,7.125,7.525
"45",1970,"Action",6.7,6.4,7.15
"46",1971,"Action",7.2,6.7,7.5
"47",1972,"Action",7.4,7.1,7.5
"48",1973,"Action",7.35,6.925,7.675
"49",1974,"Action",7.1,6.9,7.6
"50",1975,"Action",6.7,6.5,6.8
"51",1976,"Action",6.9,6.9,7
"52",1977,"Action",7.15,6.95,7.35
"53",1978,"Action",7.3,6.475,7.725
"54",1979,"Action",6.65,6.15,7.525
"55",1980,"Action",6.7,6.2,6.9
"56",1981,"Action",7.2,6.8,7.5
"57",1982,"Action",7,6.4,7.7
"58",1983,"Action",6.6,6.35,7.075
"59",1984,"Action",6.7,6.05,7.25
"60",1985,"Action",6.6,6.225,7.3
"61",1986,"Action",6.4,5.825,7.275
"62",1987,"Action",6.8,6.65,7.65
"63",1988,"Action",6.7,6.2,7.2
"64",1989,"Action",6.55,6.025,6.9
"65",1990,"Action",6.2,5.9,6.85
"66",1991,"Action",6.75,6.3,7.175
"67",1992,"Action",6.6,5.9,7
"68",1993,"Action",6.75,6.3,7.675
"69",1994,"Action",6.3,5.55,7.25
"70",1995,"Action",6.4,5.7,7
"71",1996,"Action",6.2,5.8,6.9
"72",1997,"Action",6.4,5.6,6.9
"73",1998,"Action",6.3,5.9,7.025
"74",1999,"Action",6.5,5.825,7.5
"75",2000,"Action",6.45,5.775,7.125
"76",2001,"Action",6.5,6,6.95
"77",2002,"Action",6.3,5.7,7.3
"78",2003,"Action",6.5,5.725,7.275
"79",2004,"Action",6.75,6.175,7.4
"80",2005,"Action",6.7,5.9,7.4
"81",2006,"Action",6.8,5.8,7.3
"82",2007,"Action",6.8,6.1,7.2
"83",2008,"Action",6.7,6.1,7.3
"84",2009,"Action",6.5,5.9,7.2
"85",2010,"Action",6.7,6.3,7.1
"86",2011,"Action",6.4,5.8,7.1
"87",2012,"Action",6.4,6,7.1
"88",2013,"Action",6.6,6.2,7
"89",2014,"Action",6.5,5.9,7.3
"90",2015,"Action",6.65,5.925,7.4
"91",2016,"Action",6.5,6,7.2
"92",2017,"Action",6.6,6.1,7.35
"93",2018,"Action",6.55,6.075,7.1
"94",2019,"Action",6.6,6.2,6.95
"95",2020,"Action",6.5,5.9,6.8
"96",1925,"Adventure",8.1,8.1,8.1
"97",1926,"Adventure",8,8,8
"98",1927,"Adventure",NA,NA,NA
"99",1928,"Adventure",NA,NA,NA
"100",1930,"Adventure",NA,NA,NA
"101",1931,"Adventure",NA,NA,NA
"102",1932,"Adventure",7.2,7.2,7.2
"103",1933,"Adventure",7.8,7.8,7.8
"104",1934,"Adventure",NA,NA,NA
"105",1935,"Adventure",7.75,7.725,7.775
"106",1936,"Adventure",NA,NA,NA
"107",1937,"Adventure",7.8,7.8,7.8
"108",1938,"Adventure",7.9,7.9,7.9
"109",1939,"Adventure",7.75,7.65,7.85
"110",1940,"Adventure",7.6,7.6,7.6
"111",1941,"Adventure",7.8,7.7,7.9
"112",1942,"Adventure",NA,NA,NA
"113",1943,"Adventure",NA,NA,NA
"114",1944,"Adventure",7.9,7.9,7.9
"115",1945,"Adventure",NA,NA,NA
"116",1946,"Adventure",7.8,7.8,7.8
"117",1947,"Adventure",NA,NA,NA
"118",1948,"Adventure",7.7,7.65,7.85
"119",1949,"Adventure",NA,NA,NA
"120",1950,"Adventure",NA,NA,NA
"121",1951,"Adventure",7.65,7.575,7.725
"122",1952,"Adventure",NA,NA,NA
"123",1953,"Adventure",7.6,7.5,7.7
"124",1954,"Adventure",7.3,7.05,7.85
"125",1955,"Adventure",7.75,7.575,7.925
"126",1956,"Adventure",7.7,7.4,7.9
"127",1957,"Adventure",7.75,7.575,7.925
"128",1958,"Adventure",7.2,7.2,7.55
"129",1959,"Adventure",8,7.6,8.1
"130",1960,"Adventure",7.7,7.3,7.8
"131",1961,"Adventure",7.45,7.375,7.525
"132",1962,"Adventure",7.35,7.3,7.575
"133",1963,"Adventure",7.4,7.1,7.6
"134",1964,"Adventure",7.3,5.25,7.55
"135",1965,"Adventure",7.5,7.2,7.5
"136",1966,"Adventure",7.4,6.9,7.7
"137",1967,"Adventure",7.7,7.2,7.8
"138",1968,"Adventure",7.5,7.2,7.85
"139",1969,"Adventure",7.45,7.4,7.8
"140",1970,"Adventure",7.15,6.7,7.375
"141",1971,"Adventure",7.2,6.95,7.45
"142",1972,"Adventure",7.65,7.45,7.7
"143",1973,"Adventure",7.65,7.45,7.85
"144",1974,"Adventure",6.4,6.2,6.6
"145",1975,"Adventure",8,7.95,8.2
"146",1976,"Adventure",6.85,6.5,7.175
"147",1977,"Adventure",7,6.6,7.6
"148",1978,"Adventure",7,6,7.625
"149",1979,"Adventure",7.2,6.7,7.65
"150",1980,"Adventure",6.7,6.1,7.7
"151",1981,"Adventure",7.4,7.05,7.5
"152",1982,"Adventure",7.55,6.95,7.7
"153",1983,"Adventure",6.6,6.2,7.5
"154",1984,"Adventure",6.8,6.4,7.3
"155",1985,"Adventure",6.7,6.375,7
"156",1986,"Adventure",7.2,6.7,7.6
"157",1987,"Adventure",6.8,5.3,7.35
"158",1988,"Adventure",7.3,5.9,7.6
"159",1989,"Adventure",6.5,6.4,7.6
"160",1990,"Adventure",6.95,6.325,7.025
"161",1991,"Adventure",6.75,6.325,7.3
"162",1992,"Adventure",6.6,6.15,7.125
"163",1993,"Adventure",6.5,6.2,7.15
"164",1994,"Adventure",6.3,5.4,6.65
"165",1995,"Adventure",6.95,6.025,7.3
"166",1996,"Adventure",6.6,5.9,6.95
"167",1997,"Adventure",6.6,5.925,7.2
"168",1998,"Adventure",6.5,6,6.8
"169",1999,"Adventure",6.5,6,7.2
"170",2000,"Adventure",6.45,5.675,7.425
"171",2001,"Adventure",6.45,5.9,7.275
"172",2002,"Adventure",6.3,5.7,7.4
"173",2003,"Adventure",6.6,5.7,7.3
"174",2004,"Adventure",6.8,6.075,7.3
"175",2005,"Adventure",6.4,5.625,7.2
"176",2006,"Adventure",6.5,5.8,7.1
"177",2007,"Adventure",6.55,5.95,7.225
"178",2008,"Adventure",6.6,6,6.9
"179",2009,"Adventure",6.6,5.9,7.6
"180",2010,"Adventure",6.6,6.2,7.1
"181",2011,"Adventure",6.7,6,7.15
"182",2012,"Adventure",6.8,6.1,7.3
"183",2013,"Adventure",6.9,6.35,7.3
"184",2014,"Adventure",6.85,6,7.55
"185",2015,"Adventure",6.8,6.25,7.4
"186",2016,"Adventure",6.65,6.1,7.225
"187",2017,"Adventure",6.65,6.075,7.125
"188",2018,"Adventure",6.7,6.1,7.1
"189",2019,"Adventure",6.8,6.3,7.1
"190",2020,"Adventure",6.3,5.9,6.8
"191",1925,"Comedy",8.1,8.1,8.1
"192",1926,"Comedy",8,8,8
"193",1927,"Comedy",NA,NA,NA
"194",1928,"Comedy",7.9,7.9,8
"195",1930,"Comedy",7.5,7.45,7.55
"196",1931,"Comedy",7.95,7.775,8.125
"197",1932,"Comedy",7.9,7.8,8
"198",1933,"Comedy",7.75,7.675,7.825
"199",1934,"Comedy",8,7.85,8.05
"200",1935,"Comedy",7.9,7.85,7.95
"201",1936,"Comedy",7.95,7.85,8.1
"202",1937,"Comedy",7.8,7.75,7.85
"203",1938,"Comedy",7.9,7.9,7.95
"204",1939,"Comedy",7.9,7.9,8
"205",1940,"Comedy",8,7.9,8.1
"206",1941,"Comedy",7.85,7.775,7.925
"207",1942,"Comedy",7.7,7.7,7.9
"208",1943,"Comedy",NA,NA,NA
"209",1944,"Comedy",7.7,7.3,7.9
"210",1945,"Comedy",NA,NA,NA
"211",1946,"Comedy",7.75,7.625,7.875
"212",1947,"Comedy",7.9,7.875,7.925
"213",1948,"Comedy",7.6,7.55,7.65
"214",1949,"Comedy",7.6,7.475,7.675
"215",1950,"Comedy",8,8,8
"216",1951,"Comedy",7.7,7.7,7.7
"217",1952,"Comedy",7.9,7.6,8.05
"218",1953,"Comedy",7.75,7.375,7.975
"219",1954,"Comedy",7.8,7.7,7.85
"220",1955,"Comedy",7.4,7.3,7.8
"221",1956,"Comedy",6.8,6.7,7
"222",1957,"Comedy",7.3,7.25,7.35
"223",1958,"Comedy",7.8,7.35,8
"224",1959,"Comedy",7.6,7.5,7.9
"225",1960,"Comedy",7.35,6.6,8.025
"226",1961,"Comedy",7.65,7.425,7.875
"227",1962,"Comedy",7.85,7.7,7.925
"228",1963,"Comedy",7.3,6.8,7.5
"229",1964,"Comedy",7.8,7.525,7.9
"230",1965,"Comedy",7.5,7.125,7.575
"231",1966,"Comedy",7.4,7.15,7.7
"232",1967,"Comedy",7.65,7.225,7.875
"233",1968,"Comedy",7.5,6.6,7.7
"234",1969,"Comedy",7.4,7.4,7.85
"235",1970,"Comedy",7.45,7.275,7.625
"236",1971,"Comedy",7.5,7.2,7.8
"237",1972,"Comedy",7.4,6.8,7.7
"238",1973,"Comedy",7.6,7.6,8
"239",1974,"Comedy",7.5,7.2,7.8
"240",1975,"Comedy",7.75,7.05,8.325
"241",1976,"Comedy",7.4,7,8.5
"242",1977,"Comedy",7.5,7.025,7.9
"243",1978,"Comedy",7,6.6,7.6
"244",1979,"Comedy",7.7,6.85,7.95
"245",1980,"Comedy",6.9,6.3,7.5
"246",1981,"Comedy",7.1,7,7.375
"247",1982,"Comedy",7,6.7,7.275
"248",1983,"Comedy",7.3,6.8,7.6
"249",1984,"Comedy",7,6.625,7.4
"250",1985,"Comedy",6.8,6.4,7.5
"251",1986,"Comedy",6.7,6.25,7.1
"252",1987,"Comedy",6.8,6.3,7.4
"253",1988,"Comedy",6.5,6.05,7.2
"254",1989,"Comedy",6.7,6.375,7.225
"255",1990,"Comedy",6.6,6.1,7
"256",1991,"Comedy",6.8,6.3,7.1
"257",1992,"Comedy",6.8,6,7.575
"258",1993,"Comedy",6.9,6,7.4
"259",1994,"Comedy",6.6,5.8,7.3
"260",1995,"Comedy",6.9,6.4,7.1
"261",1996,"Comedy",6.6,5.8,7.2
"262",1997,"Comedy",6.6,5.85,7.275
"263",1998,"Comedy",6.9,6.3,7.4
"264",1999,"Comedy",6.6,6,7.25
"265",2000,"Comedy",6.6,5.85,7.25
"266",2001,"Comedy",6.6,5.9,7.05
"267",2002,"Comedy",6.2,5.6,7.025
"268",2003,"Comedy",6.45,5.7,7.4
"269",2004,"Comedy",6.4,5.6,7.1
"270",2005,"Comedy",6.6,5.9,7.175
"271",2006,"Comedy",6.6,5.8,7.1
"272",2007,"Comedy",6.6,5.975,7.125
"273",2008,"Comedy",6.45,5.9,6.975
"274",2009,"Comedy",6.5,5.8,7.15
"275",2010,"Comedy",6.5,5.85,7.1
"276",2011,"Comedy",6.6,6.2,7.2
"277",2012,"Comedy",6.6,6,7.1
"278",2013,"Comedy",6.6,6,7.1
"279",2014,"Comedy",6.5,6.1,7.1
"280",2015,"Comedy",6.7,6.2,7.225
"281",2016,"Comedy",6.45,6.025,7.3
"282",2017,"Comedy",6.6,5.9,7.2
"283",2018,"Comedy",6.7,6.2,7.375
"284",2019,"Comedy",6.6,6,7.2
"285",2020,"Comedy",6.5,6.1,7.025
"286",1925,"Crime",NA,NA,NA
"287",1926,"Crime",NA,NA,NA
"288",1927,"Crime",7.4,7.4,7.4
"289",1928,"Crime",NA,NA,NA
"290",1930,"Crime",NA,NA,NA
"291",1931,"Crime",7.7,7.5,7.9
"292",1932,"Crime",7.9,7.8,8
"293",1933,"Crime",7.7,7.7,7.7
"294",1934,"Crime",7.5,7.2,7.8
"295",1935,"Crime",NA,NA,NA
"296",1936,"Crime",7.5,7.3,7.7
"297",1937,"Crime",NA,NA,NA
"298",1938,"Crime",7.9,7.9,7.9
"299",1939,"Crime",7.8,7.8,7.8
"300",1940,"Crime",7.7,7.7,7.7
"301",1941,"Crime",7.6,7.6,7.6
"302",1942,"Crime",NA,NA,NA
"303",1943,"Crime",NA,NA,NA
"304",1944,"Crime",7.9,7.7,8
"305",1945,"Crime",7.6,7.5,7.8
"306",1946,"Crime",7.65,7.475,7.825
"307",1947,"Crime",7.9,7.75,7.9
"308",1948,"Crime",7.85,7.75,7.925
"309",1949,"Crime",7.9,7.75,7.95
"310",1950,"Crime",7.9,7.8,8
"311",1951,"Crime",7.8,7.75,7.85
"312",1952,"Crime",NA,NA,NA
"313",1953,"Crime",7.5,7.225,7.775
"314",1954,"Crime",8.1,8.1,8.1
"315",1955,"Crime",7.75,7.55,7.9
"316",1956,"Crime",7.8,7.75,7.85
"317",1957,"Crime",8.2,7.8,8.5
"318",1958,"Crime",7.9,7.8,7.9
"319",1959,"Crime",7.8,7.525,7.925
"320",1960,"Crime",7.9,7.7,8.05
"321",1961,"Crime",7.6,7.6,7.6
"322",1962,"Crime",7.95,7.825,8.05
"323",1963,"Crime",7.65,7.425,7.875
"324",1964,"Crime",7.5,7.275,7.725
"325",1965,"Crime",8.1,7.9,8.3
"326",1966,"Crime",7.15,6.875,7.425
"327",1967,"Crime",7.85,7.8,7.975
"328",1968,"Crime",7.3,6.95,7.55
"329",1969,"Crime",8,7.4,8
"330",1970,"Crime",7.6,7.4,7.8
"331",1971,"Crime",7.45,7.25,7.775
"332",1972,"Crime",7.3,6.925,7.85
"333",1973,"Crime",7.8,7.6,7.9
"334",1974,"Crime",7.3,7.1,7.575
"335",1975,"Crime",7.1,6.8,7.2
"336",1976,"Crime",7.4,7.025,7.475
"337",1977,"Crime",7.4,6.9,8.1
"338",1978,"Crime",7.2,6.9,7.35
"339",1979,"Crime",7.7,7.6,7.75
"340",1980,"Crime",7.1,6.5,7.4
"341",1981,"Crime",7.35,6.675,7.5
"342",1982,"Crime",7.05,7,7.175
"343",1983,"Crime",6.9,6.65,7.4
"344",1984,"Crime",6.9,6.55,7.325
"345",1985,"Crime",7.2,6.875,7.5
"346",1986,"Crime",7,6.525,7.325
"347",1987,"Crime",7.15,6.6,7.525
"348",1988,"Crime",6.85,6.2,7.625
"349",1989,"Crime",6.6,6.2,7.175
"350",1990,"Crime",6.5,6.1,7.05
"351",1991,"Crime",6.9,6.3,7.3
"352",1992,"Crime",7,6.4,7.3
"353",1993,"Crime",7.1,6.3,7.7
"354",1994,"Crime",6.9,6.3,7.35
"355",1995,"Crime",6.9,6.4,7.5
"356",1996,"Crime",6.7,5.925,7.3
"357",1997,"Crime",6.8,6.4,7.4
"358",1998,"Crime",7.1,6.225,7.4
"359",1999,"Crime",6.8,6.5,7.4
"360",2000,"Crime",6.7,5.975,7.425
"361",2001,"Crime",6.6,6.175,7.025
"362",2002,"Crime",6.9,6.3,7.4
"363",2003,"Crime",7.1,6.5,7.575
"364",2004,"Crime",6.6,6,7.45
"365",2005,"Crime",6.9,6.3,7.4
"366",2006,"Crime",6.95,6.225,7.475
"367",2007,"Crime",6.8,6.1,7.3
"368",2008,"Crime",6.85,6.175,7.4
"369",2009,"Crime",6.5,5.9,7.1
"370",2010,"Crime",6.8,6.3,7.3
"371",2011,"Crime",6.55,5.975,7.4
"372",2012,"Crime",6.45,5.9,7.1
"373",2013,"Crime",6.7,6.2,7.225
"374",2014,"Crime",6.7,6.2,7.3
"375",2015,"Crime",6.6,5.775,7.15
"376",2016,"Crime",6.5,6.125,7.2
"377",2017,"Crime",6.7,6.15,7.3
"378",2018,"Crime",6.65,6.1,7.1
"379",2019,"Crime",6.75,6.325,7.475
"380",2020,"Crime",6.3,6.1,7.025
"381",1925,"Drama",7.95,7.875,8.025
"382",1926,"Drama",7.8,7.8,7.8
"383",1927,"Drama",7.8,7.625,7.95
"384",1928,"Drama",7.9,7.85,8
"385",1930,"Drama",7.7,7.55,7.8
"386",1931,"Drama",7.7,7.6,7.8
"387",1932,"Drama",7.8,7.65,7.9
"388",1933,"Drama",NA,NA,NA
"389",1934,"Drama",7.7,7.7,7.7
"390",1935,"Drama",7.75,7.725,7.775
"391",1936,"Drama",7.9,7.9,8
"392",1937,"Drama",7.9,7.85,7.95
"393",1938,"Drama",7.8,7.675,7.925
"394",1939,"Drama",7.8,7.7,8
"395",1940,"Drama",7.95,7.9,8.075
"396",1941,"Drama",7.8,7.75,8.05
"397",1942,"Drama",7.8,7.675,7.95
"398",1943,"Drama",7.6,7.4,7.8
"399",1944,"Drama",7.75,7.675,7.925
"400",1945,"Drama",7.8,7.6,8
"401",1946,"Drama",7.8,7.7,7.9
"402",1947,"Drama",7.9,7.75,7.9
"403",1948,"Drama",7.8,7.7,8
"404",1949,"Drama",7.75,7.575,8
