"","year","all18Un","all18Up","all30U","all45U","all","men18Un","men18Up","men30U","men45U","men","women18Un","women18Up","women30U","women45U","women","totall18Un","totall18Up","totall30U","totall45U","totall","totmen18Un","totmen18Up","totmen30U","totmen45U","totmen","totwomen18Un","totwomen18Up","totwomen30U","totwomen45U","totwomen"
"1",1925,8,7.9,7.9,8.1,7.8,8.1,8,7.9,8.1,8,NA,7.7,7.8,8.1,7.8,106,29066,65623,28620,165510,80,24494,57025,24437,110090,NA,4208,7959,3806,16656
"2",1926,7.6,8.15,8.1,8.15,7.9,8,8.2,8.1,8.2,8.15,6,8,8.1,8.1,8.05,69,14915,35845,16977,92357,51,12747,31381,14512,60759,17,2001,4087,2271,8687
"3",1927,7.95,7.8,7.7,8,7.8,7.25,7.8,7.7,8,7.8,NA,7.75,7.8,7.8,7.8,114,35423,89011,39139,223308,83,28093,74787,32781,141047,NA,6849,13205,5859,27024
"4",1928,7.8,8.2,8.1,8.1,7.9,7.75,8.2,8.05,8.05,8.1,NA,8.2,8.1,8.25,8.2,80,16686,37090,17281,96147,60,14200,32242,14289,62958,NA,2290,4462,2784,9909
"5",1930,7.8,7.6,7.6,7.65,7.65,7.7,7.6,7.55,7.65,7.65,NA,7.55,7.65,7.7,7.65,41,12143,39705,23434,95559,36,10115,34491,20295,66780,NA,1907,4840,2848,9904
"6",1931,7.85,7.55,7.6,7.75,7.65,7.8,7.6,7.55,7.75,7.65,NA,7.55,7.7,7.75,7.6,325,79218,180888,83875,462785,255,65244,155259,71029,303678,NA,13011,23710,11713,50414
"7",1932,7.4,7.6,7.5,7.7,7.7,7.5,7.6,7.6,7.7,7.6,NA,7.5,7.5,7.6,7.6,80,20196,66731,43270,166439,67,16337,56796,36072,112435,NA,3623,9206,6665,20121
"8",1933,7.6,7.8,7.7,7.9,7.7,7.3,7.8,7.7,7.9,7.8,NA,7.5,7.5,7.7,7.5,80,20844,73893,47183,183167,66,17684,64588,40171,125699,NA,2937,8590,6432,18441
"9",1934,7.95,7.8,7.8,7.95,7.85,8.05,7.8,7.75,7.95,7.85,NA,7.9,7.9,8.05,7.95,60,19740,55275,34974,147903,39,14644,43524,27487,88508,NA,4865,11202,7046,24115
"10",1935,7.6,7.75,7.6,7.85,7.8,7.9,7.7,7.6,7.8,7.7,7.75,7.7,7.55,7.9,7.7,70,17754,64419,50404,172816,52,14146,54225,42179,113741,15,3403,9517,7604,21214
"11",1936,7.6,7.9,7.8,7.9,7.9,7.7,7.9,7.8,7.9,7.9,NA,7.9,7.8,7.9,7.9,209,54485,110552,55925,300755,157,43670,92376,46077,191253,NA,9971,16897,9034,37766
"12",1937,7.8,7.7,7.5,7.8,7.8,8.2,7.6,7.5,7.8,7.7,NA,7.7,7.6,8,7.8,199,50120,96837,41371,252029,127,30369,70548,33304,139903,NA,18863,25164,7540,54309
"13",1938,7.6,7.8,7.7,7.85,7.9,7.75,7.8,7.7,7.85,7.8,NA,7.9,7.85,8.05,7.9,64,22336,87558,64919,224684,51,16606,69458,51267,141059,NA,5491,17212,12843,36695
"14",1939,7.55,7.8,7.75,8,7.85,7.7,7.85,7.75,8,7.85,NA,7.8,7.85,8,7.85,450,136528,352326,182959,915495,296,91384,257770,142119,513164,NA,43330,90668,38443,182000
"15",1940,7.6,7.8,7.8,8.1,7.9,7.9,7.8,7.7,8,7.8,NA,7.7,7.8,8.2,7.9,439,133073,311825,147432,797914,316,98152,245684,117490,480868,NA,32962,62705,27966,129513
"16",1941,7.3,7.7,7.6,7.9,7.8,NA,7.6,7.6,7.8,7.7,NA,7.6,7.6,8,7.7,422,123082,324087,166199,832754,NA,94957,268540,138060,521878,NA,26322,52016,25808,108907
"17",1942,7.3,7.6,7.4,7.8,7.75,7.35,7.55,7.4,7.75,7.55,NA,7.55,7.5,7.9,7.7,442,128365,316123,156449,817372,321,90797,248041,126220,485796,NA,35488,64410,27977,134483
"18",1943,7.5,7.8,7.7,8,7.9,7.5,7.8,7.7,8,7.8,NA,7.9,7.9,8.1,8,29,9532,33790,20427,81525,21,7836,28711,16972,55015,NA,1571,4716,3197,9788
"19",1944,7.7,7.7,7.6,7.8,7.8,7.5,7.7,7.6,7.8,7.7,NA,7.8,7.7,8.1,7.8,151,47630,149173,100870,392567,113,36303,119825,80170,243963,NA,10745,27831,19349,60155
"20",1945,7.9,7.75,7.7,7.75,7.75,8,7.8,7.65,7.75,7.7,NA,7.8,7.8,7.9,7.85,83,28560,95490,68517,245834,60,21946,78318,55143,159881,NA,6260,16137,12503,36118
"21",1946,7.4,7.8,7.7,8.1,7.8,7.7,7.8,7.7,8.1,7.8,7.3,7.7,7.7,8.1,7.8,376,112801,297427,178752,796080,258,85468,239396,143908,488766,93,25761,54802,32330,118573
"22",1947,7.3,7.8,7.7,7.8,7.9,7.8,7.8,7.6,7.8,7.7,7,7.8,7.8,7.9,7.8,84,20302,70964,59441,193945,56,15562,57351,47196,123717,24,4503,12859,11525,30025
"23",1948,7.45,7.7,7.7,7.85,7.75,7.6,7.75,7.7,7.85,7.8,NA,7.6,7.6,7.9,7.75,304,84000,219949,126029,571388,214,68860,188226,105955,376594,NA,14075,29511,18449,64630
